model,fold,test_year,arm,ablation,seeds_averaged,n_test,rmse,mae,mape,r2,direction_accuracy,balanced_accuracy,mcc,direction_coverage,n_direction_evaluated,n_actual_ties,n_predicted_abstentions,direction_tn,direction_fp,direction_fn,direction_tp,predicted_up_share
pit_dern,fold_2,2023,Global-Numeric,standard_retrieval,5,243,7.997442922699884,6.087322028302571,0.6564508008643254,0.9676933400787243,0.45867768595041325,0.4604577850877193,-0.07912510902576213,1.0,242,1,0,55,73,58,56,0.5330578512396694
pit_dern,fold_2,2023,Global-Numeric-News,standard_retrieval,5,243,7.841544475721385,6.021622257578392,0.6492992124929651,0.9689406057339777,0.5041322314049587,0.5082236842105263,0.016584318065667375,1.0,242,1,0,56,72,48,66,0.5702479338842975
pit_dern,fold_2,2023,Regime-SHAP-Numeric,standard_retrieval,5,243,7.919844614513893,5.94580882021602,0.642444657988216,0.9683172344622898,0.47107438016528924,0.4760142543859649,-0.04862912523480194,1.0,242,1,0,50,78,50,64,0.5867768595041323
pit_dern,fold_2,2023,Regime-SHAP-Numeric-News,standard_retrieval,5,243,7.75791484851056,5.87863046188027,0.6344710480936844,0.9695995663644329,0.512396694214876,0.5155564692982456,0.031241664585190603,1.0,242,1,0,59,69,49,65,0.5537190082644629
pit_dern,fold_3,2024,Global-Numeric,standard_retrieval,5,244,7.101675585117627,5.406271456422776,0.6258190031901941,0.9739928902551505,0.5040983606557377,0.5081432128676223,0.016597057893467812,1.0,244,0,0,52,75,46,71,0.5983606557377049
pit_dern,fold_3,2024,Global-Numeric-News,standard_retrieval,5,244,7.158472610667365,5.466389026041292,0.6323804635374773,0.9735752329681115,0.48360655737704916,0.48744868429907806,-0.025539503024932925,1.0,244,0,0,50,77,49,68,0.5942622950819673
pit_dern,fold_3,2024,Regime-SHAP-Numeric,standard_retrieval,5,244,7.065693951072776,5.333702063759788,0.6168338026229614,0.9742557599591489,0.5286885245901639,0.534457231307625,0.0716970901492485,1.0,244,0,0,50,77,38,79,0.639344262295082
pit_dern,fold_3,2024,Regime-SHAP-Numeric-News,standard_retrieval,5,244,7.215139985777668,5.504093439989978,0.6354406390643058,0.9731552134586088,0.48770491803278687,0.4934046705700249,-0.013723271161379594,1.0,244,0,0,45,82,43,74,0.639344262295082
pit_dern,fold_4,2025,Global-Numeric,standard_retrieval,5,234,9.925580676801008,7.815907099195801,0.991985405338327,0.9619696295810983,0.5299145299145299,0.5326754385964912,0.06687385885647897,1.0,234,0,0,51,69,41,73,0.6068376068376068
pit_dern,fold_4,2025,Global-Numeric-News,standard_retrieval,5,234,9.991925015392495,7.7901354598266055,0.9885652833753313,0.9614595269932374,0.5,0.5037280701754386,0.007789859115148906,1.0,234,0,0,43,77,40,74,0.6452991452991453
pit_dern,fold_4,2025,Regime-SHAP-Numeric,standard_retrieval,5,234,10.17214589348096,7.93287475965145,1.007355486546336,0.9600567067464049,0.47863247863247865,0.4833333333333333,-0.035829928604223925,1.0,234,0,0,36,84,38,76,0.6837606837606838
pit_dern,fold_4,2025,Regime-SHAP-Numeric-News,standard_retrieval,5,234,10.116801558691991,8.018079538812183,1.0154202106267411,0.96049016911238,0.44871794871794873,0.45219298245614037,-0.09937155783071763,1.0,234,0,0,38,82,47,67,0.6367521367521367
pit_dern,fold_1,2022,Global-Numeric,dual_evidence,5,241,6.770400894778183,5.212129570842044,0.5302738827082409,0.9074624922475523,0.49166666666666664,0.49202445365750824,-0.015857765159306505,1.0,240,1,0,53,54,68,65,0.49583333333333335
pit_dern,fold_1,2022,Global-Numeric-News,dual_evidence,5,241,6.889394254856982,5.326544047381334,0.542203967548566,0.9041811166595746,0.43333333333333335,0.43756587731009766,-0.12465819140833041,1.0,240,1,0,51,56,80,53,0.45416666666666666
pit_dern,fold_1,2022,Regime-SHAP-Numeric,dual_evidence,5,241,6.870209674686348,5.2366857851287,0.5331025372714275,0.9047140185499478,0.5208333333333334,0.512859250931066,0.025859715760783126,1.0,240,1,0,47,60,55,78,0.575
pit_dern,fold_1,2022,Regime-SHAP-Numeric-News,dual_evidence,5,241,6.966819977489608,5.263545979662628,0.5357843273002691,0.9020153139881345,0.5083333333333333,0.5015810554423442,0.0031683508727694456,1.0,240,1,0,47,60,58,75,0.5625
pit_dern,fold_2,2023,Global-Numeric,dual_evidence,5,243,7.435406886507759,5.64184526366787,0.6088261137854745,0.972074610438926,0.4380165289256198,0.4409265350877193,-0.11863574833671497,1.0,242,1,0,50,78,58,56,0.5537190082644629
pit_dern,fold_2,2023,Global-Numeric-News,dual_evidence,5,243,7.461174649352494,5.621376041038872,0.60687651776293,0.9718807214729948,0.49586776859504134,0.4994517543859649,-0.0011031642653314606,1.0,242,1,0,56,72,50,64,0.5619834710743802
pit_dern,fold_2,2023,Regime-SHAP-Numeric,dual_evidence,5,243,7.463650779699667,5.619517615794706,0.6066689034190709,0.9718620545590878,0.49586776859504134,0.5004111842105263,0.000831303735131888,1.0,242,1,0,54,74,48,66,0.5785123966942148
pit_dern,fold_2,2023,Regime-SHAP-Numeric-News,dual_evidence,5,243,7.365767066804375,5.59663761318281,0.6042454286031448,0.9725952576692707,0.48760330578512395,0.4906798245614035,-0.01871747305544459,1.0,242,1,0,56,72,52,62,0.5537190082644629
pit_dern,fold_3,2024,Global-Numeric,dual_evidence,5,244,6.664544664971315,4.957863045800898,0.5728291264113333,0.977095996695409,0.5163934426229508,0.5202907328891582,0.04128772204835001,1.0,244,0,0,54,73,45,72,0.5942622950819673
pit_dern,fold_3,2024,Global-Numeric-News,dual_evidence,5,244,6.691192514406198,4.974420195261453,0.5741234886162982,0.9769124694856309,0.5,0.5045427013930951,0.009308592962494987,1.0,244,0,0,50,77,45,72,0.610655737704918
pit_dern,fold_3,2024,Regime-SHAP-Numeric,dual_evidence,5,244,6.556903115206158,4.836013068182381,0.5579456311121046,0.9778298840216788,0.5327868852459017,0.5394037283801063,0.0831017404396746,1.0,244,0,0,48,79,35,82,0.6598360655737705
pit_dern,fold_3,2024,Regime-SHAP-Numeric-News,dual_evidence,5,244,6.736534651880518,5.019459553687772,0.5786886286186483,0.9765985090452272,0.48360655737704916,0.48812167709805504,-0.024340246783412817,1.0,244,0,0,48,79,47,70,0.610655737704918
pit_dern,fold_4,2025,Global-Numeric,dual_evidence,5,234,9.442767223972812,7.368798400387025,0.9339458066357361,0.9655794919821221,0.5427350427350427,0.5456140350877193,0.09353686755098684,1.0,234,0,0,52,68,39,75,0.6111111111111112
pit_dern,fold_4,2025,Global-Numeric-News,dual_evidence,5,234,9.599667044496115,7.41875441913056,0.9413862519120755,0.9644261353428282,0.5085470085470085,0.5131578947368421,0.028185793008312678,1.0,234,0,0,40,80,35,79,0.6794871794871795
pit_dern,fold_4,2025,Regime-SHAP-Numeric,dual_evidence,5,234,9.665027845913686,7.50849449065789,0.9530570636537679,0.9639400660206768,0.4658119658119658,0.46951754385964917,-0.06369355394151163,1.0,234,0,0,39,81,44,70,0.6452991452991453
pit_dern,fold_4,2025,Regime-SHAP-Numeric-News,dual_evidence,5,234,9.658769264528129,7.505535326655198,0.9519674133153064,0.9639867520653326,0.452991452991453,0.4567982456140351,-0.09052024228066244,1.0,234,0,0,37,83,45,69,0.6495726495726496
pit_dern,fold_1,2022,Global-Numeric,pit_dern,5,241,15.633070910545635,12.672540586648081,1.2886929918135956,0.5066244496057473,0.4625,0.4830651394842246,-0.036455194949180654,1.0,240,1,0,72,35,94,39,0.30833333333333335
pit_dern,fold_1,2022,Global-Numeric-News,pit_dern,5,241,15.192083903262546,12.511471243283719,1.2710837192459896,0.5340667231338607,0.44166666666666665,0.4597006535029161,-0.08525487557671187,1.0,240,1,0,67,40,94,39,0.32916666666666666
pit_dern,fold_1,2022,Regime-SHAP-Numeric,pit_dern,5,241,13.867240245011855,11.5178303685547,1.172212521291614,0.61178786433837,0.4375,0.4541142576066334,-0.09618115719485752,1.0,240,1,0,65,42,93,40,0.3416666666666667
pit_dern,fold_1,2022,Regime-SHAP-Numeric-News,pit_dern,5,241,13.492862748236638,10.85212476788393,1.1047189251684113,0.6324662434002113,0.4708333333333333,0.4787084533764317,-0.04281690642359173,1.0,240,1,0,59,48,79,54,0.425
pit_dern,fold_2,2023,Global-Numeric,pit_dern,5,243,14.449917212131052,11.636199392928797,1.2566947917636861,0.8945320561273041,0.5371900826446281,0.5466694078947368,0.0984357329904368,1.0,242,1,0,49,79,33,81,0.6611570247933884
pit_dern,fold_2,2023,Global-Numeric-News,pit_dern,5,243,13.46326662924228,11.07767684828275,1.1961646047022156,0.9084431894969519,0.4669421487603306,0.47546600877192985,-0.05130932753105919,1.0,242,1,0,42,86,43,71,0.6487603305785123
pit_dern,fold_2,2023,Regime-SHAP-Numeric,pit_dern,5,243,12.352839784712417,9.863724938957418,1.0650853422178785,0.922923252665622,0.5661157024793388,0.576891447368421,0.1648079310450148,1.0,242,1,0,50,78,27,87,0.6818181818181818
pit_dern,fold_2,2023,Regime-SHAP-Numeric-News,pit_dern,5,243,13.235911738789776,10.663752292882934,1.1517014420303675,0.911509329340788,0.49586776859504134,0.5032894736842105,0.006794707624925293,1.0,242,1,0,48,80,42,72,0.628099173553719
pit_dern,fold_3,2024,Global-Numeric,pit_dern,5,244,14.287087988849112,11.667108631895234,1.3565749468195318,0.8947413318166626,0.5081967213114754,0.5157816811360119,0.03392926511363978,1.0,244,0,0,42,85,35,82,0.6844262295081968
pit_dern,fold_3,2024,Global-Numeric-News,pit_dern,5,244,12.136958335549446,9.749028055927448,1.1349242793428622,0.9240390908483028,0.5,0.5048791977925836,0.010037909202260904,1.0,244,0,0,49,78,44,73,0.6188524590163934
pit_dern,fold_3,2024,Regime-SHAP-Numeric,pit_dern,5,244,13.119172694527894,10.647868746831225,1.235999440327133,0.9112469411598766,0.5245901639344263,0.5348946766269601,0.08051809711784627,1.0,244,0,0,36,91,25,92,0.75
pit_dern,fold_3,2024,Regime-SHAP-Numeric-News,pit_dern,5,244,14.09237709902877,11.441502796489342,1.3294357844627192,0.897590806998526,0.4918032786885246,0.4993606568409718,-0.001374533128271121,1.0,244,0,0,40,87,37,80,0.6844262295081968
pit_dern,fold_4,2025,Global-Numeric,pit_dern,5,234,14.880313723074654,11.68219666688138,1.4859124964719603,0.914524257278182,0.5341880341880342,0.5348684210526315,0.06980576339578433,1.0,234,0,0,61,59,50,64,0.5256410256410257
pit_dern,fold_4,2025,Global-Numeric-News,pit_dern,5,234,14.12912349812299,11.304877566392047,1.436872932293938,0.9229364253202108,0.5042735042735043,0.5057017543859649,0.011470786693528088,1.0,234,0,0,54,66,50,64,0.5555555555555556
pit_dern,fold_4,2025,Regime-SHAP-Numeric,pit_dern,5,234,14.47947566390202,11.506783686931938,1.4545555721700396,0.9190672348683405,0.48717948717948717,0.48903508771929827,-0.02215775759240901,1.0,234,0,0,50,70,50,64,0.5726495726495726
pit_dern,fold_4,2025,Regime-SHAP-Numeric-News,pit_dern,5,234,13.932255898859342,11.094668972766982,1.4025751079551199,0.9250689888060162,0.5213675213675214,0.525,0.05209880722517277,1.0,234,0,0,46,74,38,76,0.6410256410256411
pit_dern,fold_1,2022,Global-Numeric,shuffled_retrieval_control,5,241,15.803870564246115,12.807130307869386,1.3022477355079292,0.49578477362135975,0.4666666666666667,0.4859110392804441,-0.030004576307642635,1.0,240,1,0,71,36,92,41,0.32083333333333336
pit_dern,fold_1,2022,Global-Numeric-News,shuffled_retrieval_control,5,241,15.612377281231302,12.863904510814512,1.3070793423116744,0.5079297559600975,0.44166666666666665,0.45878715480289506,-0.08664414713625514,1.0,240,1,0,66,41,93,40,0.3375
pit_dern,fold_1,2022,Regime-SHAP-Numeric,shuffled_retrieval_control,5,241,14.010829350728194,11.63758108124784,1.1843844283234741,0.6037067134304349,0.43333333333333335,0.4494413604103717,-0.10567060945372371,1.0,240,1,0,64,43,93,40,0.3458333333333333
pit_dern,fold_1,2022,Regime-SHAP-Numeric-News,shuffled_retrieval_control,5,241,13.809028839332628,11.09737437307239,1.129706254170007,0.6150402696326314,0.475,0.4815543531726512,-0.03696409351564353,1.0,240,1,0,58,49,77,56,0.4375
pit_dern,fold_2,2023,Global-Numeric,shuffled_retrieval_control,5,243,14.700743494780696,11.84596752194827,1.2797752764281929,0.8908387848716246,0.5371900826446281,0.5471491228070176,0.1000595447585717,1.0,242,1,0,48,80,32,82,0.6694214876033058
pit_dern,fold_2,2023,Global-Numeric-News,shuffled_retrieval_control,5,243,13.750914925651344,11.315177443669159,1.2221036811925368,0.9044890968066582,0.4628099173553719,0.47108004385964913,-0.060321691515335826,1.0,242,1,0,42,86,44,70,0.6446280991735537
pit_dern,fold_2,2023,Regime-SHAP-Numeric,shuffled_retrieval_control,5,243,12.486487990302763,9.98402004182873,1.0781126004811126,0.9212464083919412,0.5661157024793388,0.576891447368421,0.1648079310450148,1.0,242,1,0,50,78,27,87,0.6818181818181818
pit_dern,fold_2,2023,Regime-SHAP-Numeric-News,shuffled_retrieval_control,5,243,13.413118911242302,10.812236766946308,1.1679136628015616,0.909123977351165,0.49586776859504134,0.5032894736842105,0.006794707624925293,1.0,242,1,0,48,80,42,72,0.628099173553719
pit_dern,fold_3,2024,Global-Numeric,shuffled_retrieval_control,5,244,14.62322060202803,11.919258583651212,1.3861661943469465,0.8897302232595419,0.5122950819672131,0.5200551854095161,0.043270312468411565,1.0,244,0,0,42,85,34,83,0.6885245901639344
pit_dern,fold_3,2024,Global-Numeric-News,shuffled_retrieval_control,5,244,12.531272529854697,10.054333855409821,1.17085975242608,0.9190231680098141,0.4959016393442623,0.5006056935190794,0.0012435640466316666,1.0,244,0,0,49,78,45,72,0.6147540983606558
pit_dern,fold_3,2024,Regime-SHAP-Numeric,shuffled_retrieval_control,5,244,13.320999547249032,10.809005344166666,1.2545929258735589,0.9084951614773432,0.5245901639344263,0.5348946766269601,0.08051809711784627,1.0,244,0,0,36,91,25,92,0.75
pit_dern,fold_3,2024,Regime-SHAP-Numeric-News,shuffled_retrieval_control,5,244,14.320628305711681,11.638338672402265,1.3525011679456675,0.8942465419652873,0.4918032786885246,0.4993606568409718,-0.001374533128271121,1.0,244,0,0,40,87,37,80,0.6844262295081968
pit_dern,fold_4,2025,Global-Numeric,shuffled_retrieval_control,5,234,15.224886374997231,11.940216653392586,1.520182127415906,0.9105198242795856,0.5384615384615384,0.5392543859649123,0.07862380315917986,1.0,234,0,0,61,59,49,65,0.5299145299145299
pit_dern,fold_4,2025,Global-Numeric-News,shuffled_retrieval_control,5,234,14.51494710707262,11.594826316113659,1.4750245109078959,0.9186702151897603,0.5085470085470085,0.5100877192982456,0.020314763615140063,1.0,234,0,0,54,66,49,65,0.5598290598290598
pit_dern,fold_4,2025,Regime-SHAP-Numeric,shuffled_retrieval_control,5,234,14.724211479837956,11.717235245214004,1.4821515663917415,0.9163082207284973,0.49145299145299143,0.493421052631579,-0.013312051063847863,1.0,234,0,0,50,70,49,65,0.5769230769230769
pit_dern,fold_4,2025,Regime-SHAP-Numeric-News,shuffled_retrieval_control,5,234,14.201652662997846,11.302549683603175,1.4287687548032637,0.9221432122573203,0.5256410256410257,0.5293859649122807,0.061402418907644314,1.0,234,0,0,46,74,37,77,0.6452991452991453
